Date,Description,Amount,Type
2024-02-18,"MainOne Cable",-45000,expense
2024-02-24,"Paystack Transfer: Client Payment",453647,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-19,"Fuel - Total",-24596,expense
2024-02-19,"Vercel Inc.",-25000,expense
2024-02-24,"Paystack Transfer: Client Payment",332096,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-20,"Vercel Inc.",-25000,expense
2024-02-20,"Fuel - Total",-14204,expense
2024-02-20,"Coworking Space Lekki",-60000,expense
2024-02-24,"Paystack Transfer: Client Payment",437623,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-21,"Upwork Inc.",420834,income
2024-02-24,"Paystack Transfer: Client Payment",395201,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-22,"Shoprite Lekki",-43213,expense
2024-02-22,"Shoprite Lekki",-24619,expense
2024-02-24,"Paystack Transfer: Client Payment",441096,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-24,"Paystack Transfer: Client Payment",269086,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-24,"Paystack Transfer: Client Payment",435657,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-25,"Spectranet 4G LTE",-33332,expense
2024-02-25,"MainOne Cable",-45000,expense
2024-02-25,"Spectranet 4G LTE",-21406,expense
2024-02-24,"Paystack Transfer: Client Payment",187353,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-24,"Paystack Transfer: Client Payment",187326,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-27,"Dominos Pizza",-9255,expense
2024-02-27,"Spectranet 4G LTE",-30619,expense
2024-02-24,"Paystack Transfer: Client Payment",274923,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-28,"Upwork Inc.",351419,income
2024-02-28,"Dominos Pizza",-19221,expense
2024-02-24,"Paystack Transfer: Client Payment",354676,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-29,"Uber Ride",-2668,expense
2024-03-24,"Paystack Transfer: Client Payment",398280,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-01,"Dominos Pizza",-13994,expense
2024-03-01,"Vercel Inc.",-25000,expense
2024-03-01,"Fuel - Total",-17349,expense
2024-03-24,"Paystack Transfer: Client Payment",211896,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-02,"Eko Hotels & Suites",-106577,expense
2024-03-02,"Spectranet 4G LTE",-29303,expense
2024-03-02,"MainOne Cable",-45000,expense
2024-03-24,"Paystack Transfer: Client Payment",495096,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-03,"Vercel Inc.",-25000,expense
2024-03-03,"Shoprite Lekki",-22830,expense
2024-03-03,"Bolt Trip",-1495,expense
2024-03-24,"Paystack Transfer: Client Payment",403162,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-04,"Coworking Space Lekki",-60000,expense
2024-03-04,"DSTV Premium",-29500,expense
2024-03-04,"Uber Ride",-2526,expense
2024-03-24,"Paystack Transfer: Client Payment",472886,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-24,"Paystack Transfer: Client Payment",420526,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-06,"Upwork Inc.",365010,income
2024-03-06,"MainOne Cable",-45000,expense
2024-03-06,"GTBank Trf: Mom",-34698,expense
2024-03-06,"Vercel Inc.",-25000,expense
2024-03-24,"Paystack Transfer: Client Payment",401357,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-07,"Vercel Inc.",-25000,expense
2024-03-07,"Uber Ride",-5024,expense
2024-03-24,"Paystack Transfer: Client Payment",209158,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-08,"Spectranet 4G LTE",-20834,expense
2024-03-24,"Paystack Transfer: Client Payment",413659,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-09,"GTBank Trf: Mom",-24734,expense
2024-03-09,"Uber Ride",-5186,expense
2024-03-24,"Paystack Transfer: Client Payment",424409,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-10,"DSTV Premium",-29500,expense
2024-03-24,"Paystack Transfer: Client Payment",231198,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-24,"Paystack Transfer: Client Payment",234261,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-24,"Paystack Transfer: Client Payment",414668,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-13,"Upwork Inc.",751722,income
2024-03-13,"Coworking Space Lekki",-60000,expense
2024-03-13,"Eko Hotels & Suites",-48790,expense
2024-03-24,"Paystack Transfer: Client Payment",273002,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-14,"GTBank Trf: Mom",-21108,expense
2024-03-24,"Paystack Transfer: Client Payment",205171,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-15,"Dominos Pizza",-15983,expense
2024-03-15,"Dominos Pizza",-8902,expense
2024-03-24,"Paystack Transfer: Client Payment",230457,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-16,"Uber Ride",-3229,expense
2024-03-24,"Paystack Transfer: Client Payment",457558,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-24,"Paystack Transfer: Client Payment",497088,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-18,"Vercel Inc.",-25000,expense
2024-03-24,"Paystack Transfer: Client Payment",366252,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-24,"Paystack Transfer: Client Payment",261859,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-20,"Upwork Inc.",533917,income
2024-03-24,"Paystack Transfer: Client Payment",365120,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-21,"Bolt Trip",-4395,expense
2024-03-21,"Uber Ride",-4708,expense
2024-03-21,"DSTV Premium",-29500,expense
2024-03-24,"Paystack Transfer: Client Payment",187203,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-22,"Netflix Subscription",-4500,expense
2024-03-24,"Paystack Transfer: Client Payment",326055,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-23,"DSTV Premium",-29500,expense
2024-03-24,"Paystack Transfer: Client Payment",218514,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-24,"Netflix Subscription",-4500,expense
2024-03-24,"Paystack Transfer: Client Payment",200973,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-25,"Coworking Space Lekki",-60000,expense
2024-03-25,"Fuel - Total",-10264,expense
2024-03-24,"Paystack Transfer: Client Payment",467365,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-24,"Paystack Transfer: Client Payment",214819,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-27,"Upwork Inc.",749464,income
2024-03-27,"Bolt Trip",-3469,expense
2024-03-27,"Eko Hotels & Suites",-113672,expense
2024-03-24,"Paystack Transfer: Client Payment",198911,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-28,"Vercel Inc.",-25000,expense
2024-03-28,"Bolt Trip",-3869,expense
2024-03-28,"MainOne Cable",-45000,expense
2024-03-24,"Paystack Transfer: Client Payment",452036,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-24,"Paystack Transfer: Client Payment",453909,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-30,"Eko Hotels & Suites",-111755,expense
2024-03-30,"Fuel - Total",-23593,expense
2024-03-24,"Paystack Transfer: Client Payment",376911,income
2024-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-03-31,"Bolt Trip",-3019,expense
2024-04-24,"Paystack Transfer: Client Payment",428917,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-01,"Eko Hotels & Suites",-121980,expense
2024-04-01,"Spar Nigeria",-28042,expense
2024-04-24,"Paystack Transfer: Client Payment",238136,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-02,"Spectranet 4G LTE",-27906,expense
2024-04-24,"Paystack Transfer: Client Payment",495382,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-03,"Upwork Inc.",522200,income
2024-04-24,"Paystack Transfer: Client Payment",234945,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-04,"Dominos Pizza",-14458,expense
2024-04-04,"Vercel Inc.",-25000,expense
2024-04-04,"Vercel Inc.",-25000,expense
2024-04-24,"Paystack Transfer: Client Payment",470098,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-24,"Paystack Transfer: Client Payment",255615,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-06,"Zoom Video Comms",-18000,expense
2024-04-06,"MainOne Cable",-45000,expense
2024-04-06,"Coworking Space Lekki",-60000,expense
2024-04-24,"Paystack Transfer: Client Payment",342982,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-07,"Shoprite Lekki",-15119,expense
2024-04-07,"Bolt Trip",-2616,expense
2024-04-24,"Paystack Transfer: Client Payment",190134,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-08,"Spar Nigeria",-10875,expense
2024-04-08,"GTBank Trf: Mom",-39985,expense
2024-04-24,"Paystack Transfer: Client Payment",492735,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-09,"Vercel Inc.",-25000,expense
2024-04-09,"Bolt Trip",-2951,expense
2024-04-24,"Paystack Transfer: Client Payment",290776,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-10,"Upwork Inc.",537863,income
2024-04-10,"Zoom Video Comms",-18000,expense
2024-04-24,"Paystack Transfer: Client Payment",248958,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-11,"Spar Nigeria",-15227,expense
2024-04-11,"Fuel - Total",-11459,expense
2024-04-11,"Dominos Pizza",-11169,expense
2024-04-24,"Paystack Transfer: Client Payment",239289,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-12,"Bolt Trip",-1745,expense
2024-04-24,"Paystack Transfer: Client Payment",360022,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-24,"Paystack Transfer: Client Payment",355395,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-14,"Fuel - Total",-19561,expense
2024-04-14,"Zoom Video Comms",-18000,expense
2024-04-14,"Bolt Trip",-3478,expense
2024-04-24,"Paystack Transfer: Client Payment",187308,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-24,"Paystack Transfer: Client Payment",244325,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-16,"Spectranet 4G LTE",-30293,expense
2024-04-16,"Spectranet 4G LTE",-20873,expense
2024-04-16,"Dominos Pizza",-17369,expense
2024-04-24,"Paystack Transfer: Client Payment",454567,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-17,"Upwork Inc.",489813,income
2024-04-17,"DSTV Premium",-29500,expense
2024-04-17,"MainOne Cable",-45000,expense
2024-04-24,"Paystack Transfer: Client Payment",431036,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-24,"Paystack Transfer: Client Payment",156825,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-19,"DSTV Premium",-29500,expense
2024-04-19,"Dominos Pizza",-23236,expense
2024-04-24,"Paystack Transfer: Client Payment",315373,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-20,"Zoom Video Comms",-18000,expense
2024-04-20,"Vercel Inc.",-25000,expense
2024-04-24,"Paystack Transfer: Client Payment",317250,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-21,"Coworking Space Lekki",-60000,expense
2024-04-24,"Paystack Transfer: Client Payment",493729,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-22,"Vercel Inc.",-25000,expense
2024-04-24,"Paystack Transfer: Client Payment",276415,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-23,"Vercel Inc.",-25000,expense
2024-04-23,"MainOne Cable",-45000,expense
2024-04-24,"Paystack Transfer: Client Payment",303014,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-24,"Upwork Inc.",538871,income
2024-04-24,"GTBank Trf: Mom",-27686,expense
2024-04-24,"Paystack Transfer: Client Payment",488380,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-25,"Bolt Trip",-3894,expense
2024-04-24,"Paystack Transfer: Client Payment",258428,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-26,"Fuel - Total",-22959,expense
2024-04-26,"DSTV Premium",-29500,expense
2024-04-24,"Paystack Transfer: Client Payment",333745,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-27,"DSTV Premium",-29500,expense
2024-04-27,"Vercel Inc.",-25000,expense
2024-04-27,"MainOne Cable",-45000,expense
2024-04-24,"Paystack Transfer: Client Payment",255391,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-28,"Coworking Space Lekki",-60000,expense
2024-04-24,"Paystack Transfer: Client Payment",199481,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-29,"GTBank Trf: Mom",-23800,expense
2024-04-29,"Shoprite Lekki",-47227,expense
2024-04-29,"Shoprite Lekki",-68192,expense
2024-04-24,"Paystack Transfer: Client Payment",454822,income
2024-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-04-30,"Netflix Subscription",-4500,expense
2024-04-30,"Spar Nigeria",-40865,expense
2024-04-30,"Uber Ride",-2782,expense
2024-05-24,"Paystack Transfer: Client Payment",446186,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-01,"Upwork Inc.",371171,income
2024-05-24,"Paystack Transfer: Client Payment",346996,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-02,"Eko Hotels & Suites",-102395,expense
2024-05-02,"GTBank Trf: Mom",-49287,expense
2024-05-24,"Paystack Transfer: Client Payment",155904,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-03,"Spectranet 4G LTE",-26691,expense
2024-05-03,"Dominos Pizza",-20490,expense
2024-05-24,"Paystack Transfer: Client Payment",245726,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-04,"Zoom Video Comms",-18000,expense
2024-05-04,"Shoprite Lekki",-32788,expense
2024-05-04,"Spar Nigeria",-43252,expense
2024-05-24,"Paystack Transfer: Client Payment",443710,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-24,"Paystack Transfer: Client Payment",210014,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-06,"Shoprite Lekki",-43122,expense
2024-05-06,"Zoom Video Comms",-18000,expense
2024-05-24,"Paystack Transfer: Client Payment",341016,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-07,"Fuel - Total",-18466,expense
2024-05-07,"Bolt Trip",-3429,expense
2024-05-07,"GTBank Trf: Mom",-20265,expense
2024-05-24,"Paystack Transfer: Client Payment",313408,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-08,"Upwork Inc.",442822,income
2024-05-08,"Uber Ride",-2977,expense
2024-05-08,"Spectranet 4G LTE",-28927,expense
2024-05-24,"Paystack Transfer: Client Payment",329763,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-24,"Paystack Transfer: Client Payment",233904,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-10,"Netflix Subscription",-4500,expense
2024-05-10,"Coworking Space Lekki",-60000,expense
2024-05-10,"Coworking Space Lekki",-60000,expense
2024-05-24,"Paystack Transfer: Client Payment",193510,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-11,"Bolt Trip",-1620,expense
2024-05-11,"Uber Ride",-4409,expense
2024-05-11,"Spectranet 4G LTE",-28371,expense
2024-05-24,"Paystack Transfer: Client Payment",188477,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-24,"Paystack Transfer: Client Payment",388927,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-13,"Fuel - Total",-17295,expense
2024-05-13,"Coworking Space Lekki",-60000,expense
2024-05-24,"Paystack Transfer: Client Payment",177002,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-24,"Paystack Transfer: Client Payment",367884,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-15,"Upwork Inc.",452629,income
2024-05-15,"Netflix Subscription",-4500,expense
2024-05-15,"Netflix Subscription",-4500,expense
2024-05-15,"DSTV Premium",-29500,expense
2024-05-24,"Paystack Transfer: Client Payment",175559,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-16,"Shoprite Lekki",-44032,expense
2024-05-16,"Vercel Inc.",-25000,expense
2024-05-16,"Bolt Trip",-3486,expense
2024-05-24,"Paystack Transfer: Client Payment",207309,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-17,"MainOne Cable",-45000,expense
2024-05-24,"Paystack Transfer: Client Payment",314522,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-18,"DSTV Premium",-29500,expense
2024-05-18,"Spectranet 4G LTE",-34988,expense
2024-05-18,"Dominos Pizza",-12334,expense
2024-05-24,"Paystack Transfer: Client Payment",270954,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-19,"Fuel - Total",-18417,expense
2024-05-19,"Uber Ride",-2250,expense
2024-05-24,"Paystack Transfer: Client Payment",359433,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-20,"Coworking Space Lekki",-60000,expense
2024-05-20,"Fuel - Total",-11364,expense
2024-05-20,"Zoom Video Comms",-18000,expense
2024-05-24,"Paystack Transfer: Client Payment",264241,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-21,"Uber Ride",-2342,expense
2024-05-21,"Uber Ride",-4269,expense
2024-05-24,"Paystack Transfer: Client Payment",198203,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-22,"Upwork Inc.",781217,income
2024-05-22,"Coworking Space Lekki",-60000,expense
2024-05-24,"Paystack Transfer: Client Payment",221163,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-23,"Fuel - Total",-24120,expense
2024-05-23,"DSTV Premium",-29500,expense
2024-05-24,"Paystack Transfer: Client Payment",414167,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-24,"Uber Ride",-3522,expense
2024-05-24,"Paystack Transfer: Client Payment",283208,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-24,"Paystack Transfer: Client Payment",193159,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-26,"Fuel - Total",-10430,expense
2024-05-26,"Fuel - Total",-10641,expense
2024-05-24,"Paystack Transfer: Client Payment",342266,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-27,"Uber Ride",-3662,expense
2024-05-27,"GTBank Trf: Mom",-28324,expense
2024-05-27,"Spectranet 4G LTE",-28241,expense
2024-05-24,"Paystack Transfer: Client Payment",172644,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-24,"Paystack Transfer: Client Payment",164837,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-29,"Upwork Inc.",783842,income
2024-05-24,"Paystack Transfer: Client Payment",297840,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-30,"Spectranet 4G LTE",-31466,expense
2024-05-30,"Uber Ride",-2752,expense
2024-05-30,"Zoom Video Comms",-18000,expense
2024-05-24,"Paystack Transfer: Client Payment",310658,income
2024-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-05-31,"Fuel - Total",-21936,expense
2024-05-31,"Spectranet 4G LTE",-34308,expense
2024-05-31,"Shoprite Lekki",-60545,expense
2024-06-24,"Paystack Transfer: Client Payment",469764,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-01,"Dominos Pizza",-23700,expense
2024-06-01,"DSTV Premium",-29500,expense
2024-06-01,"Eko Hotels & Suites",-53190,expense
2024-06-24,"Paystack Transfer: Client Payment",456800,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-24,"Paystack Transfer: Client Payment",305105,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-03,"Vercel Inc.",-25000,expense
2024-06-24,"Paystack Transfer: Client Payment",489174,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-04,"DSTV Premium",-29500,expense
2024-06-04,"Vercel Inc.",-25000,expense
2024-06-24,"Paystack Transfer: Client Payment",279943,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-05,"Upwork Inc.",592873,income
2024-06-05,"Fuel - Total",-17337,expense
2024-06-05,"Eko Hotels & Suites",-126831,expense
2024-06-24,"Paystack Transfer: Client Payment",171001,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-06,"Eko Hotels & Suites",-129015,expense
2024-06-06,"Zoom Video Comms",-18000,expense
2024-06-06,"MainOne Cable",-45000,expense
2024-06-24,"Paystack Transfer: Client Payment",288834,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-07,"Fuel - Total",-20388,expense
2024-06-24,"Paystack Transfer: Client Payment",459937,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-08,"Eko Hotels & Suites",-71843,expense
2024-06-08,"Zoom Video Comms",-18000,expense
2024-06-24,"Paystack Transfer: Client Payment",195470,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-09,"Bolt Trip",-1656,expense
2024-06-09,"Spectranet 4G LTE",-32662,expense
2024-06-24,"Paystack Transfer: Client Payment",478206,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-10,"Spar Nigeria",-23764,expense
2024-06-10,"Netflix Subscription",-4500,expense
2024-06-24,"Paystack Transfer: Client Payment",294249,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-24,"Paystack Transfer: Client Payment",198237,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-12,"Upwork Inc.",492257,income
2024-06-12,"Dominos Pizza",-23294,expense
2024-06-12,"DSTV Premium",-29500,expense
2024-06-12,"Eko Hotels & Suites",-108679,expense
2024-06-24,"Paystack Transfer: Client Payment",319060,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-13,"Shoprite Lekki",-63151,expense
2024-06-13,"GTBank Trf: Mom",-21169,expense
2024-06-13,"Dominos Pizza",-13682,expense
2024-06-24,"Paystack Transfer: Client Payment",484330,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-24,"Paystack Transfer: Client Payment",455982,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-24,"Paystack Transfer: Client Payment",317904,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-16,"Spectranet 4G LTE",-30954,expense
2024-06-24,"Paystack Transfer: Client Payment",486923,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-17,"Spar Nigeria",-19327,expense
2024-06-17,"GTBank Trf: Mom",-27227,expense
2024-06-24,"Paystack Transfer: Client Payment",409471,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-18,"Netflix Subscription",-4500,expense
2024-06-18,"Dominos Pizza",-15982,expense
2024-06-18,"Uber Ride",-3058,expense
2024-06-24,"Paystack Transfer: Client Payment",311313,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-19,"Upwork Inc.",513412,income
2024-06-19,"Spar Nigeria",-26732,expense
2024-06-19,"MainOne Cable",-45000,expense
2024-06-24,"Paystack Transfer: Client Payment",467755,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-20,"Netflix Subscription",-4500,expense
2024-06-24,"Paystack Transfer: Client Payment",426158,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-24,"Paystack Transfer: Client Payment",346344,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-22,"Netflix Subscription",-4500,expense
2024-06-22,"MainOne Cable",-45000,expense
2024-06-22,"Uber Ride",-3678,expense
2024-06-24,"Paystack Transfer: Client Payment",427771,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-23,"Dominos Pizza",-16844,expense
2024-06-23,"Netflix Subscription",-4500,expense
2024-06-24,"Paystack Transfer: Client Payment",319619,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-24,"DSTV Premium",-29500,expense
2024-06-24,"Bolt Trip",-2161,expense
2024-06-24,"Dominos Pizza",-10476,expense
2024-06-24,"Paystack Transfer: Client Payment",271175,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-24,"Paystack Transfer: Client Payment",488853,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-26,"Upwork Inc.",464756,income
2024-06-26,"Bolt Trip",-3532,expense
2024-06-24,"Paystack Transfer: Client Payment",426391,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-27,"GTBank Trf: Mom",-49270,expense
2024-06-27,"Eko Hotels & Suites",-139120,expense
2024-06-24,"Paystack Transfer: Client Payment",389979,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-28,"DSTV Premium",-29500,expense
2024-06-28,"Fuel - Total",-21124,expense
2024-06-24,"Paystack Transfer: Client Payment",427994,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-29,"Spar Nigeria",-41399,expense
2024-06-29,"DSTV Premium",-29500,expense
2024-06-29,"Shoprite Lekki",-43093,expense
2024-06-24,"Paystack Transfer: Client Payment",240466,income
2024-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-06-30,"Eko Hotels & Suites",-85091,expense
2024-06-30,"Dominos Pizza",-8060,expense
2024-06-30,"Fuel - Total",-18657,expense
